Sample	Chr1	Start1	End1
1320KB0001	2	89161431	89161606
1320KB0001	2	90249390	90249565
1320KB0001	2	89160903	89161654
1320KB0001	2	89185505	89185934
1320KB0004	22	23063298	23063614
1320KB0004	22	23241944	23242089
1320KB0002	2	89161069	89161302
1320KB0002	2	90260264	90260601
1320KB0009	2	89161431	89161616
1320KB0009	2	90078320	90078477
1320KB0001	14	106330237	106330460
1320KB0001	14	106354424	106354767
1320KB0001	14	106329811	106330073
1320KB0001	14	106360391	106360554
1320KB0001	14	106329190	106329463
1320KB0001	14	106363813	106364026
1320KB0001	14	106329069	106329461
1320KB0001	14	106382681	106382970
1320KB0001	14	106329276	106329443
1320KB0001	14	106351889	106352050
1320KB0004	22	23063298	23063614
1320KB0004	22	23247314	23247459
1320KB0012	7	142334471	142334924
1320KB0012	7	142494275	142494768
